set_id,set_name,release_year,theme_id,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_month,retire_price,pop_price,Unnamed: 12,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price
60244-1,Police Helicopter Transport,2020,61,317,4,39.99,3,4.6,Oct-21,37.6,37.29,,Police Helicopter Transport,2020,City,Modern day,Police,Normal,Box,6,Retail,317.0,4.0,925.0,0.0,49.99,4.0,19.8
60248-1,Fire Helicopter Response,2020,58,93,3,17.99,0,4.4,Nov-21,22.74,22.49,,Fire Helicopter Response,2020,City,Modern day,Fire,Normal,Box,2,Retail,93.0,3.0,1137.0,2.3,29.99,1.0,9.99
60252-1,Construction Bulldozer,2020,56,126,2,17.99,0,4.5,Nov-21,21.0,19.74,,Construction Bulldozer,2020,City,Modern day,Construction,Normal,Box,4,Retail,126.0,2.0,2606.0,3.8,19.99,9.0,18.5
60254-1,Race Boat Transporter,2020,52,239,2,24.99,0,4.6,Nov-21,32.19,35.27,,Race Boat Transporter,2020,City,Modern day,Great Vehicles,Normal,Box,4,Retail,238.0,2.0,2245.0,4.0,29.99,2.0,28.0
60258-1,Tuning Workshop,2020,52,897,7,89.99,6,4.6,Nov-21,86.17,95.37,,Tuning Workshop,2020,City,Modern day,Town,Normal,Box,12,Retail,897.0,7.0,3111.0,4.1,99.99,11.0,73.4902
60260-1,Air Race,2020,53,140,3,24.99,0,4.6,Dec-21,32.65,42.22,,Air Race,2020,City,Modern day,Airport,Normal,Box,4,Retail,140.0,3.0,771.0,0.0,39.99,2.0,19.0
60266-1,Ocean Exploration Ship,2020,52,747,8,124.99,0,4.7,Mar-22,147.14,178.73,,Ocean Exploration Ship,2020,City,Modern day,Deep Sea Explorers,Normal,Box,6,Retail,745.0,8.0,2548.0,4.2,149.99,13.0,207.1305
60271-1,Main Square,2020,52,1517,14,169.99,13,4.6,Jan-22,177.16,151.76,,Main Square,2020,City,Modern day,Town,Normal,Box,16,LEGO exclusive,1517.0,15.0,1226.0,3.9,199.99,2.0,139.99
60273-1,Elite Police Driller Chase,2020,61,179,2,17.99,1,4.6,Nov-21,34.4,28.76,,Elite Police Driller Chase,2020,City,Modern day,Elite Police,Normal,Box,4,Retail,179.0,2.0,527.0,0.0,29.99,2.0,17.9286
60274-1,Elite Police Lighthouse Arrest,2020,61,189,2,17.99,0,4.6,Nov-21,23.22,22.21,,Elite Police Lighthouse Capture,2020,City,Modern day,Elite Police,Normal,Box,4,Retail,189.0,2.0,689.0,0.0,29.99,2.0,20.1697
70428-1,Jack's Beach Buggy,2020,676,171,3,17.99,2,4.6,Aug-21,19.08,20.32,,Jack's Beach Buggy,2020,Hidden Side,Action/Adventure,,Normal,Box,2,Retail,170.0,3.0,2862.0,3.7,19.99,9.0,15.99
70429-1,El Fuego's Stunt Plane,2020,676,303,3,24.99,2,4.6,Aug-21,34.9,36.94,,El Fuego's Stunt Plane,2020,Hidden Side,Action/Adventure,,Normal,Box,2,Retail,295.0,3.0,3077.0,3.7,29.99,11.0,34.0
70430-1,Newbury Subway,2020,676,357,3,24.99,2,4.6,Aug-21,29.22,25.99,,Newbury Subway,2020,Hidden Side,Action/Adventure,,Normal,Box,2,Retail,348.0,3.0,3012.0,3.7,29.99,21.0,20.0
70431-1,The Lighthouse of Darkness,2020,676,549,5,44.99,3,4.6,Aug-21,46.84,59.03,,The Lighthouse of Darkness,2020,Hidden Side,Action/Adventure,,Normal,Box,2,Retail,540.0,5.0,3591.0,4.0,49.99,15.0,44.0
70432-1,Haunted Fairground,2020,676,475,5,44.99,4,4.6,Aug-21,52.72,53.44,,Haunted Fairground,2020,Hidden Side,Action/Adventure,,Normal,Box,2,Retail,466.0,5.0,2518.0,3.9,49.99,13.0,49.95
70434-1,Supernatural Race Car,2020,676,244,3,24.99,1,4.6,Aug-21,27.1,32.93,,Supernatural Race Car,2020,Hidden Side,Action/Adventure,,Normal,Box,2,Retail,244.0,3.0,1795.0,3.7,29.99,6.0,35.0
70435-1,Newbury Abandoned Prison,2020,676,401,4,34.99,3,4.7,Aug-21,47.45,61.69,,Newbury Abandoned Prison,2020,Hidden Side,Action/Adventure,,Normal,Box,2,Retail,400.0,4.0,1515.0,3.9,39.99,4.0,70.0
70436-1,Phantom Fire Truck 3000,2020,676,760,5,59.99,4,4.8,Mar-21,62.92,74.27,,Phantom Fire Truck 3000,2020,Hidden Side,Action/Adventure,,Normal,Box,2,Retail,760.0,6.0,1772.0,4.1,59.99,3.0,90.0
70437-1,Mystery Castle,2020,676,1035,6,89.99,2,4.9,Aug-21,144.23,164.85,,Mystery Castle,2020,Hidden Side,Action/Adventure,,Normal,Box,2,Retail,1035.0,6.0,2054.0,3.9,99.99,4.0,264.95
71361-11,Character Pack Series 1 - Complete Set,2020,690,146,0,44.99,0,4.8,Apr-21,102.44,126.07,,Character Pack Series 1 - Complete,2020,Super Mario,Licensed,Character Pack - Series 1,Collection,{Not specified},0,Retail,0.0,10.0,1067.0,0.0,,,
71363-1,Desert Pokey Expansion Set,2020,690,181,0,17.99,0,4.6,Dec-21,15.97,23.44,,Desert Pokey,2020,Super Mario,Licensed,Expansion Set,Normal,Box,3,Retail,180.0,2.0,3694.0,3.8,19.99,22.0,12.5
71364-1,Whomp's Lava Trouble Expansion Set,2020,690,133,0,17.99,0,4.6,Nov-21,16.65,17.71,,Whomp's Lava Trouble,2020,Super Mario,Licensed,Expansion Set,Normal,Box,3,Retail,133.0,2.0,3306.0,3.6,19.99,20.0,12.0
71365-1,Piranha Plant Power Slide Expansion Set,2020,690,217,0,24.99,0,4.5,Dec-21,27.74,32.91,,Piranha Plant Power Slide,2020,Super Mario,Licensed,Expansion Set,Normal,Box,3,Retail,217.0,4.0,2986.0,3.7,29.99,9.0,29.99
